상호명,카테고리,평점,주소,운영시간,메뉴,시설
에쎄떼,커피전문점,3.5,부산 영도구 대평북로 29 1층 (우)49040,['매일 10:30 ~ 19:00'],"{'아메리카노': '5,200'}","{'WIFI': '가능', '동물출입': '가능', '주차': '가능', '놀이방': '', '흡연실': ''}"
옥이네집,국밥,5.0,부산 영도구 대평로50번길 8 (우)49038,['월~금 08:00 ~ 18:00'],"{'돼지국밥': '6,000', '물회': '8,000', '돼지수육 (소)': '6,000', '회 (무침)': '10,000'}",{'주차': '가능'}
복성만두,분식,3.9,부산 영도구 대평로34번길 5-8 (우)49039,['월~토 09:00 ~ 19:00'],"{'떡라면': '3,500', '만두라면': '3,500', '라면': '3,000', '김치만두국': '5,000', '떡국': '5,000', '군만두': '5,000', '': ''}",{}
양다방,다방,3.3,부산 영도구 대평로 49 1층 (우)49038,['월~토 07:30 ~ 18:00'],{},{}
대평마을다방,카페,2.5,부산 영도구 대평로27번길 6 1층 (우)49043,['매일 11:00 ~ 20:00'],{},{'주차': '가능'}
국가대표명품찹쌀꽈배기 영도점,도넛,4.5,부산 영도구 대평로 8 (우)49041,['null'],"{'찹쌀 고구마치즈도넛츠(1개)': '1,500', '찹쌀 꽈배기(2개)': '1,000', '찹쌀 (녹두)공룡알(2개)': '1,000', '찹쌀 팥도넛츠(1개)': '1,000', '찹쌀 고구마도넛(1개)': '1,000'}",{}
행복한아침,카페,5.0,부산 영도구 대평로 46 1층 (우)49039,['null'],"{'아메리카노': '2,000', '카페라떼': '2,500', '초코라떼': '3,000', '바닐라라떼': '3,000', '딸기스무디': '3,500', '자몽에이드': '3,500', '': ''}",{}
신남경원,중국요리,5.0,부산 영도구 대평로19번길 12 (우)49043,['null'],{},{}
수다방,다방,0,부산 영도구 대평로28번길 13-10 (우)49040,['null'],{},{}
백두봉낙지,한식,0,부산 영도구 대평로 20 (우)49040,['null'],{},{}
깡깡이카페,카페,0,부산 영도구 대평로45번길 9 (우)49039,['null'],{},{}
집밥식당,한식,0,부산 영도구 대평로45번길 12 (우)49038,['null'],{},{}
영도관,중국요리,0,부산 영도구 대평로 15 (우)49043,['null'],{},{}
부산영도경찰서 구내식당,구내식당,0,부산 영도구 태종로 46 (우)49042,['null'],{},{}
또봉이통닭 부산영도대평점,또봉이통닭,0,부산 영도구 대평로 15 (우)49043,['null'],"{'또봉이통닭': '12,000', '또봉이통닭 반반': '14,000', '양념통닭': '14,000', '간장마늘통닭': '15,000', '순살안심텐더+소스': '14,000', '간장마늘통닭+또봉이통닭': '26,000', '': ''}",{}
한강에레멘트,음식점,0,부산 영도구 대평로 25-1 (우)49043,['null'],{},{}
순이네밥상,술집,0,부산 영도구 대평로33번길 8 (우)49039,['null'],{},{}
진주식당,한식,0,부산 영도구 대평로 16 (우)49041,['null'],{},{}
일번각,중국요리,0,부산 영도구 대평로6번길 9 (우)49041,['null'],{},{}
도미물회찜,회,0,부산 영도구 대평로33번길 14 (우)49039,['null'],{},{}
정선식당,한식,0,부산 영도구 대평남로 32 (우)49043,['null'],{},{}
청파카페,음식점,0,부산 영도구 태종로 40 (우)49042,['null'],{},{}
골목집,한식,0,부산 영도구 대평로50번길 1 (우)49038,['null'],{},{}
이가네찜,한식,5.0,부산 영도구 대평로 16 (우)49041,['null'],{},{}
이모네식당,한식,0,부산 영도구 대평로 23 (우)49043,['null'],{},{}
거제식당,한식,0,부산 영도구 대평로33번길 9 (우)49043,['null'],{},{}
삼오,커피전문점,0,부산 영도구 대평로34번길 9-34 (우)49039,['null'],{},{}
복커피숍,카페,0,부산 영도구 대평로 1 (우)49043,['null'],{},{}
만남의실비,"호프,요리주점",0,부산 영도구 대평로 15 (우)49043,['null'],{},{}
진이네식당,한식,0,부산 영도구 대평로 44-3 (우)49039,['null'],{},{}
일송식당,한식,0,부산 영도구 대평로19번길 7 (우)49043,['null'],{},{}
진미식당,장어,0,부산 영도구 대평로 16 (우)49041,['null'],{},{}
대평식당,한식,0,부산 영도구 대평남로 58-2 (우)49038,['null'],{},{}
금정식당,한식,0,부산 영도구 대평로28번길 9-19 (우)49040,['null'],{},{}
경숙이식당,한식,0,부산 영도구 대평로 29-4 (우)49043,['null'],{},{}
쌀국수공방,양식,0,부산 영도구 대평로27번길 5-1 (우)49043,['null'],{},{}
진아네,한식,0,부산 영도구 대평로41번길 10 (우)49039,['null'],{},{}
바나나,"호프,요리주점",0,부산 영도구 대평로 16 (우)49041,['null'],{},{}
만남의신비,한식,0,부산 영도구 대평로 15 (우)49043,['null'],{},{}
에쎄떼,커피전문점,3.5,부산 영도구 대평북로 29 1층 (우)49040,['매일 10:30 ~ 19:00'],"{'아메리카노': '5,200'}","{'WIFI': '가능', '동물출입': '가능', '주차': '가능', '놀이방': '', '흡연실': ''}"
현미해물천국,아구,3.5,부산 영도구 절영로36번길 5 (우)49045,['월~금 11:30 ~ 22:00'],"{'호루레기': '25,000', '아구찜 (소)': '30,000', '아구탕': '30,000', '낙지볶음': '30,000', '해물탕 (소)': '30,000'}",{}
포항물회일번지,회,4.1,부산 영도구 절영로35번길 6 (우)49054,['매일 11:00 ~ 21:00'],"{'물회': '12,000'}",{}
아델라베일리 부산,이탈리안,4.3,부산 영도구 태종로 45 밸류호텔 24층 (우)49037,['매일 11:00 ~ 23:00'],"{'Caesar salad': '19,000', 'Beef salad': '25,000', 'pepperoni': '25,000', 'Rucola prosciutoo': '25,000', 'Carbonara': '22,000'}",{}
다미복국 영도본점,복어,4.3,부산 영도구 남항로9번길 2 (우)49045,"['매일 09:00 ~ 21:00', '매일 휴게시간 15:00 ~ 17:00']","{'복삼불고기(2인)': '30,000', '복국(은복)': '10,000', '복국(밀복)': '13,000', '복국(까치복)': '15,000', '복국(참복)': '20,000', '복전골(밀복)': '40,000', '': ''}",{}
자매보리밥,한식,3.8,부산 영도구 태종로73번길 25 (우)49033,['매일 00:00 ~ 24:00'],"{'장어구이': '50,000', '장어탕': '13,000', '보리밥': '7,000', '청국장': '8,000', '김치찌개': '8,000'}",{}
신선물회,회,4.8,부산 영도구 절영로35번길 16 (우)49054,['화~일 11:00 ~ 22:30'],"{'모듬회(소)': '35,000', '전어(소)': '35,000', '물회, 회덮밥': '10,000', '회초밥(10개)': '10,000', '다금바리, 이시가리': '변동가격'}",{}
라발스스카이카페&바,카페,3.4,부산 영도구 봉래나루로 82 라발스호텔 28층 (우)49033,['매일 11:00 ~ 22:00'],"{'아메리카노': '6,500', '카페라떼': '7,000', '레몬에이드': '7,500', '얼그레이티': '7,000', '페퍼민트티': '7,000'}",{}
스타벅스 영도대교점,스타벅스,3.4,부산 영도구 태종로 39 해안루미너스 오피스텔 301호 (우)49037,['월~목 08:00 ~ 21:00'],"{'리저브 나이트로': '7,500', '바닐라 빈 푸딩 블렌디드 위드 콜드 브루': '6,300', '퍼플 드링크 위드 망고 용과 스타벅스 리프레셔': '5,900', '라이트 키위 라임 블렌디드': '6,300', '망고 용과 레모네이드 스타벅스 리프레셔': '5,900', '얼 그레이 카카오 초코 프라푸치노': '6,500', '': ''}",{}
영도횟집,회,3.7,부산 영도구 남항로19번길 33 (우)49054,['매일 11:00 ~ 23:00'],{},{}
화목정따로국밥,국밥,4.7,부산 영도구 태종로73번길 22 1층 (우)49033,"['매일 10:10 ~ 21:00', '월~토 휴게시간 16:00 ~ 17:00']","{'내장국밥': '9,000', '모둠국밥': '10,000', '돼지수백': '14,000', '따로 돼지국밥': '9,000', '소머리 국밥': '12,000', '소머리 수육(중)': '48,000', '': ''}","{'WIFI': '', '동물출입': '', '주차': '', '휠체어사용': '', '놀이방': '', '흡연실': ''}"
버거린,햄버거,4.3,부산 영도구 태종로 50 1층 (우)49042,['null'],"{'오리지널 버거': '7,500', '치즈버거': '6,500', '모짜렐라 버거': '8,500'}",{}
원조영도포항물회,회,3.4,부산 영도구 남항로9번길 38 (우)49045,['매일 11:00 ~ 21:00'],"{'대구뽈탕': '10,000', '아까무스물회(소)': '10,000', '한치물회(소)': '12,000', '아까무스회': '30,000', '한치회': '30,000'}",{}
조개대교,조개,4.6,부산 영도구 태종로 54-1 2층 (우)49042,['null'],"{'영도대교': '49,000', '부산항대교': '59,000', '칠리치즈새우': '25,000', '오작교해물모듬': '35,000', '광안대교': '69,000', '넓직해물탕': '35,000'}","{'WIFI': '가능', '동물출입': '가능'}"
남촌샤브샤브,샤브샤브,5.0,부산 영도구 남항로9번길 3 (우)49045,['매일 11:30 ~ 21:00'],"{'소고기샤브샤브 (1인분)': '10,000', '소고기매운탕샤브샤브 (1인분)': '11,000', '소고기상추샤브샤브 (1인분)': '12,000', '소고기버섯샤브샤브 (1인분)': '14,000', '모밀쟁반국수 (2인분)': '13,000'}",{}
삼형제오리,오리,2.5,부산 영도구 태종로73번길 23 (우)49033,['월~목 16:00 ~ 22:00'],"{'오리세트': '38,000', '양꼬치 (10꼬치)': '11,000', '양갈비 (1인분)': '9,000', '오리바베큐 한마리': '28,000', '간두부냉채': '5,000'}",{'주차': '가능'}
탐라물회,회,4.0,부산 영도구 남항로31번길 33 (우)49054,['null'],"{'자리회 대': '15,000', '갈치구이': '30,000', '갈치조림': '9,000', '고등어구이': '20,000', '고등어조림': '30,000', '옥돔구이 (대)': '', '': ''}",{}
진주식당,해장국,4.4,부산 영도구 절영로14번길 2 (우)49033,['매일 05:00 ~ 13:00'],"{'해장국': '5,000'}",{}
대교횟집,회,3.0,부산 영도구 태종로73번길 6 (우)49037,['매일 10:00 ~ 22:00'],"{'참가자미회(소)': '40,000', '해물단품': '15,000', '전복물회': '18,000', '회덮밥': '12,000', '우럭매운탕': '12,000'}",{}
또시아,중식,4.8,부산 영도구 절영로 6 1층 (우)49033,"['월,수,목,금,토,일 11:30 ~ 21:30', '월,수,목,금,토,일 휴게시간 15:00 ~ 17:00']","{'추천\n홍소우육면': '11,000', '추천\n마라마파두부+계란볶음밥': '13,000', '가지튀김': '13,000', '꿔바로우': '14,000', '멘보샤': '15,000', '칠리새우': '17,000', '': ''}",{'주차': '가능'}
드메르 영도점,카페,4.8,부산 영도구 절영로 15 (우)49036,['월~금 09:00 ~ 22:30'],"{'카페라떼(Tall)': '4,000', '아메리카노(Tall)': '3,000', '비엔나_오리지널': '5,000', '밀크티': '4,500', '그린티스무디': '4,000'}",{}
미진축산 영도남항점,삼겹살,5.0,부산 영도구 절영로43번길 27 1층 (우)49054,['매일 14:00 ~ 02:00'],"{'오도독 갈비살': '5,400'}",{}
봉자막창 영도점,"곱창,막창",5.0,부산 영도구 태종로 70-1 (우)49045,['매일 16:00 ~ 01:00'],{},{}
영도뼈다귀해장국,해장국,4.7,부산 영도구 절영로14번길 17 1층 (우)49037,['매일 10:00 ~ 22:00'],"{'뼈다귀해장국': '7,000', '김치콩나물': '6,000', '된장찌개': '6,000', '동태찌개': '7,000', '감자탕(소)': '20,000'}",{}
