명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
국제시장 먹자골목,48945,부산광역시 중구 중구로 36,"부산시 창선동 국제시장 내 아리랑 거리 도입부에 위치하고 있는 대표적인 야외 음식점가로 60년이 넘는 역사를 자랑한다. 김밥, 순대, 국수 등을 좌판의자에 앉아서 즐기는 풍경은 한국 재래시장 식당가의 정감 넘치는 풍경 중 하나다. 이곳에 들른 내국인은 물론 외국 관광객들이 필수적으로 맛보는 대표 메뉴는 충무 김밥이다. 여러 가지재료를 쓰는 일반 김밥과 달리 밥과 김만으로 담백하게 맛을 낸 향토 음식이다.<br>",051-245-7389,연중무휴,,,,09:00 ~ 20:00,없음,불가,없음,,
서면1번가,47289,부산광역시 부산진구 신천대로62번길 61(부전동),"부산 부산진구 '서면1번가'는 옛 천우장에서 LG서비스센터까지 폭 8m, 길이 330m 구간으로 서면에서도 가장 번화한 거리이자 '예술의 거리'로 유명하다.'서면1번가'를 표시하는 대형 입간판을 중심으로 주점, 카페가 밀집해있다. 화려한 네온사인을 밝힌 주점들과 먹거리 골목을 안고 있는 이곳의 분위기는 매우 흥겹다. 젊은 분위기의 카페와 호프집 그리고 값이 싸고 맛있는 음식점들이 즐비해 있어 언제나 젊은이들의 발길이 끊이지 않는다. 또한, 영화관, 공연장, 게임장 등 여가를 즐길 수 있는 위락시설이 가득하다.서면1번가 거리에서는 봄과 가을에 특설무대를 만들어 축제를 여는데 젊은이들이 좋아하는 다양한 공연을 펼쳐 한층 더 젊음의 열기가 넘쳐나는 명소가 되고 있다. 주말에는 아마추어 거리악단의 공연과 초상화 그리기, 연극 등 다양한 장르의 문화행사가 펼쳐져 국내 및 해외 관광객들이 많이 찾는 곳이기도 하다.<br>",051-605-4091,,,,,,,없음,없음,,
광안리해수욕장,48303,부산광역시 수영구 광안해변로 219(광안동),"광안리해수욕장은 부산광역시 수영구 광안2동에 있으며 해운대 해수욕장의 서쪽에 위치하고 있다. 총면적 82,000㎡, 길이 1.4km, 사장폭은 25~110m의 질 좋은 모래사장이 있고, 지속적인 수질 정화를 실시하여 인근의 수영강에 다시 고기가 살 수 있을 정도로 깨끗한 수질을 자랑하며, 특히 젊은이들이 즐겨 찾는 명소이다. 광안리에서는 해수욕뿐 아니라 독특한 분위기를 자아내는 레스토랑, 카페 등과 시내 중심가 못지않은 유명 패션상가들이 즐비하며, 다양한 먹을거리, 볼거리가 있어서 피서의 즐거움을 더해준다. 특히 밤이 되면 광안대교의 아름다운 야경이 장관이다.<br>해수욕장 주변에는 낭만이 깃든 카페거리와 300여 곳의 횟집이 있고 야외무대가 설치되어 있어서 부산 바다축제를 비롯한 다양한 축제가 개최되고 있으며, 해변을 찾는 피서객을 위한 공연도 있다. 인근의 수영강에서는 낚시를 할 수도 있고, 싱싱한 회를 즉석에서 맛볼 수도 있으며 올림픽 요트 경기장이 있어서 요트를 탈 수도 있다. 숙박시설도 잘 갖추어져 있다. 해변과 인접해 있는 호텔을 이용해도 되고 알뜰한 피서를 원한다면 인근 금련산에 소재한 청소년수련원를 이용하면 된다. 이곳에는 텐트 설치가 가능하며 숙박동도 대여해 주고 취사시설도 완비되어 있다. 해수욕장 인근에는 다양한 문화시설들이 있는데 남천해변의 자유바다를 비롯하여 KBS, MBC 방송국이 있으며, MBC 내에는 개봉관인 시네마홀 극장도 있다. 피서철에는 다양한 축제가 열리므로 피서객들에게 즐길 수 있는 문화공간도 제공한다.<br /><br />광안리해변에는 100여 개의 카페가 있다. 음악과 칵테일과 낭만이 깃든 카페에서 바라보는 해수욕장과 광안대교는 아름답기 그지없다. 광안대교에서 이곳을 바라보면 마치 동화 속 유럽의 한 도시를 여행하고 있는 듯한 착각을 할 만큼 예쁘게 꾸며져 있다. 광안리 해수욕장과 인접해 있어 가족단위나 친구·연인과의 만남을 위한 장소이기도 하다. 또한 이곳에서는 음식과 술뿐만 아니라 야외음악도 감상할 수 있다.<br>",051-622-4251,연중개방,,전연령,,09:00~18:00,주차가능,없음,없음,,"이용가능시설:광안리해양레포츠센터, 음수대, 화장실, 탈의(샤워)장
"
보광사(부산),48702,부산광역시 동구 범상로1번길 35(범일동),보광사는 최근에 지어진 사찰로서 깨끗한 경내시설과 도시에서 산을 접할 수 있는 곳에 위치한 곳으로서 방문객들의 편의를 위하여 각종 편의시설을 건립하는 등 방문객들의 요구에 부응하고 있다.<br>,051-646-6461,,,,,,10대,없음,없음,,
재난안전체험관,46207,부산광역시 금정구 체육공원로399번길 324,"※ 평일은 단체 예약(20인 이상)으로 운영되며 1주일 전까지 예약<br /><br />부산시 경륜공단은 15일 테니스 센터코트 지하 1층의 유휴공간 854㎡를 활용하여 ‘재난 안전 체험관’을 만들어 2008년 10월 17일에 문을 열었다.재난안전체험관은 재난체험시설(지진체험관, 연기체험관, 소화기작동 체험관, 응급처지 체험관)과 교육 전시시설(오리엔테이션홀, 재난역사 전시관, 생활안전전시관) 등으로 나뉘어 모두 7개 주제의 공간으로 구성되어 있다.체험관은 전직 소방관 등으로 구성된 자원봉사자 12명이 재난 및 안전에 대한 안내 및 설명을 진행하게 된다.<br /><br />* 오리엔테이션<br />홀입장객들은 재난 안전 체험관에 들어서면 먼저‘오리엔테이션 홀’에서 재난의 종류에 대해 비디오 학습을 하게 된다.태풍 홍수 지진 해일 산불 등의 자연 재난과 화재 폭발 붕괴 등 각종 사고 등에 대해 동영상을 통해 배우게 된다.<br /><br />* 재난역사전시관<br />국내외의 대표적인 재난의 피해와 교훈에 대해 패널을 통해 배울 수 있다. 중국 쓰촨성 지진, 구포열차전복사고, 삼풍백화점 붕괴사고, 911테러, 대구 지하철 화재사고 등의 끔찍한 참사현장을 현장 사진과 함께 할 수 있다.<br /><br />* 응급처치 체험관<br />응급처치의 중요성, 응급상황 시 행동요령 등을 숙지할 수 있으며, 심폐소생훈련용 ‘인형’을 통해 심폐소생술을 직접 체험해볼 수 있다. 전문 강사가 직접 지도하여 생생한 체험이 될 수 있게 해 주며 이밖에 불에 데었을 때, 팔 다리가 부러졌을 때 등의 응급상황에 대한 대비 요령도 배울 수 있다.<br /><br /> * 연기체험관<br />이곳에서는 화재현장과 같은 상황을 만든 다음, 출구를 찾아 탈출하는 요령을 직접 배울 수 있도록 만들었다. 체험관 내부는 꼬불꼬불한 미로 형태로 만들어졌으며 화재가 발생하여 모든 전등이 꺼져 캄캄한 내부에 연기발생기에서 뿜어져 나오는 연기가 미로를 채우게 되면 입장객들은 피난 유도등을 따라 출구를 찾아 대피하는 체험을 할 수 있다.<br /><br />* 생활안전전시관<br />일상 생활공간에서 흔히 일어날 수 있는 안전사고에 대한 예방법을 패널을 통해 학습할 수 있는 공간이다.수영장이나 집 안에서의 안전사고는 물론 전기나 가스, 승강기 안전사고에 이르기까지 각종 유형의 사고에 대한 유형과 대비법을 배울 수 있다.<br /><br />* 소화기체험관<br />직접 소화기를 사용해 볼 수 있도록 구성된 공간이다. 대형스크린 상에 화재발생현장을 화면으로 재현하면 불이 난 곳을 향해 분말 대신 물이 발사되는 소화기를 직접 작동시켜볼 수 있다. 소화기는 실제분말소화기처럼 안전핀을 뽑아야 물이 발사된다.<br /><br />* 지진체험관<br />지진시뮬레이터를 이용하여 실제 지진 발생시의 흔들림을 체험할 수 있다. 부엌을 형상화한 공간에 직접 들어가 상하좌우로 흔들리는 지진을 1분가량 직접 체험하며 지진발생시 행동요령(탁자 밑 대피 등) 등을 익힐 수 있도록 구성되어 있다.<br>",1577-0880,"매월 둘째, 넷째 월요일",,,"봄(4, 5월), 가을(9, 10월)만 운영","평일 : 10:00 ~ 15:00 (단체예약 14:00 마감)<br>※평일은 단체 예약(20인이상)으로 운영되며 1주일 전까지 예약<br />
토·일·공휴일 : 11:00, 13:00, 14:00, 15:00(단체예약 불가)",있음,없음,불가,,"화장실:있음
입 장 료:무료
주차요금:무료
이용가능시설:* 오리엔테이션홀 - 재난 안전 체험관을 관람하기전에 각종 시설을 소개하고 주의사항 등을 설명하는 곳<br />
* 재난 역사전시관 - 우리의 기억속에서 잊혀질 수 없는 대형재난 사례들을 보고 느끼는 공간<br />
* 지진체험관 - 지진 발생시 대피 요령을 배울 수 있으며, 실제 지진의 흔들림을 체험 할 수 있다.<br />
* 응급처치체험관 - 우리 생활에 필요한 응급처치 및 심폐소생술을 배울 수 있다.<br />
* 연기 체험관 - 불이 났을때 연기가 가득한 실내에서 대피 할 수 있는 방법을 체험하는 공간<br />
* 생활안전 전시관 - 일상생활에 흔히 일어날 수 있는 안전사고들을 예방하는 방법을 배울 수 있다.<br />
* 소화기 체험관 - 물소화기를 이용하여 불을 직접 끄는 방법을 배우고 체험하는 공간
내국인 예약안내:사전예약 후 방문 
"
송정해수욕장,48072,부산광역시 해운대구 송정해변로 62(송정동),"달맞이 길을 따라 해월정과 벚꽃단지를 지나다 보면 넓게 펄쳐진 바다를 접하게 된다.아직까지 자연의 아름다움을 그대로 간직한 이곳 송정해수욕장은1965년 7월 9일 개설되어 매년 6월1일부터 8월 31일까지 개장된다. 백사장 길이는 1.2km,폭 30~60m,면적 54,000㎡이며 수용능력은 약 10만명이다. 송정해수욕장에서는 해마다 대보름 미역축제와 송정해변축제, 송정죽도 문화제 등 많은 행사가 열리고 있다.<br /><br />또한 봄, 가을로 부산시내 각 대학에서 MT를 이곳 송정에서 개최하고있다. 숨막히는 도시의 번잡함에서 벗어나 자연의 아름다움과 순수가 함께 숨쉬는 이곳은 예비 신랑 신부들을 위한 촬영 장소로도 각광받고 있다. 그리고 기장과의 경계가 되는 송정천에는 겨울,봄으로 쇠백로가 날아와 월동을 나고 있다.<br /><br />한편, 해수욕장 입구에 위치한 죽도에는 울창한 송림과 휴식공간이 마련되어 있고 해마다 기원제가 열리며 우리고유의 정자 양식인 팔각정모양의 송일정도 운치를 더해준다. 해안을 따라 자연산 회를 취급하는 횟집이 늘어서고 있고 해안 끝 광어골에는 외식문화 거리가 조성되어 있어 또 다른 별미를 맛볼 수 있다.<br>송정해수욕장은 부드러운 모래와 완만한 경사, 얕은 수심으로 가족들과 어린이들이 해수욕하기 좋아 가족 휴양지로 나날이 인기를 끌고 있다.",051-749-5800,연중무휴,,,,09:00 ~ 18:00,있음,없음,없음,,"이용가능시설:탈의장, 샤워장, 급수대 등
화장실:있음
"
해운대해수욕장,48100,부산광역시 해운대구 해운대해변로 264(우동),"* 부산 대표 해수욕장, 해운대해수욕장<br /><br />부산의 대표 해수욕장인 해운대해수욕장. 백사장의 길이 1.5km, 너비 30~50m, 평균수심 1m, 면적 58,400㎥의 규모로 넓은 백사장과 아름다운 해안선을 자랑하고 있으며 얕은 수심과 잔잔한 물결로 해수욕장의 최적 조건을 갖추고 있다.'부산' 하면 제일 먼저 떠올리는 곳이 해운대 해수욕장이라고 할 만큼 부산을 대표하는 명소이며, 해마다 여름철 피서객을 가늠하는 척도로 이용될 만큼 국내 최대 인파가 몰리는 곳이기도 하다. 특히, 해안선 주변에 크고 작은 빌딩들과 고급 호텔들이 우뚝 솟아있어 현대적이고 세련된 분위기의 해수욕장으로 유명하기 때문에 여름 휴가철뿐만 아니라 사시사철 젊은 열기로 붐비고 해외 관광객들에게도 잘 알려져 있어 외국인들이 많이 찾는 곳이다.<br /><br />* 해운대해수욕장의 다양한 축제와 즐길거리<br /><br />해운대해수욕장에서는 매년 정월 대보름날의 달맞이 축제를 진행하고 있다. 또한, 매년 겨울 주최하고 있는 북극곰수영대회는 이미 겨울철 대표 축제로 자리잡았다. 이외에도 모래 작품전, 부산 바다 축제 등 각종 크고 작은 행사들이 열리고 있다. 또한, 해수욕장 주변에 동백섬, 오륙도, 아쿠아리움 , 요트경기장, 벡스코 달맞이고개, 드라이브코스 등 볼거리가 많으며, 국내 1급 해수욕장답게 주변에는 일급 호텔을 비롯한 숙박, 오락시설 및 유흥 시설들이 잘 정비되어 있어 편안한 휴식을 즐길 수 있다.",051-749-5700,연중무휴,,,,09:00 ~ 18:00,주차가능,불가,없음,,"입 장 료:무료
시설이용료:※ 시설이용료 홈페이지 안내 참고
이용가능시설:샤워실, 탈의실, 급수대, 해변작은도서관, 여름경찰서(7~8월), 119시민수상구조대
"
오륙도 (부산 국가지질공원),48594,부산광역시 남구 오륙도로 137,"오륙도는 용호동 앞바다의 거센 물결 속에 솟아있는 6개의 바위섬으로, 육지에서 가까운 것부터 방패섬, 솔섬, 수리섬, 송곳섬, 굴섬, 등대섬으로 나뉘어 진다.
오륙도는 12만년 전 까지는 육지에 이어진 하나의 작은 반도였으나, 오랜 세월을 거치는 동안 거센 파도에 의한 침식작용으로 육지에서 분리되어 형성된 것으로 추정된다. 이것은 육지인 승두말과 방패섬·솔섬의 지질적 구성이 동일한 점에서도 알 수 있다. 오륙도란 이름은 1740년에 편찬된 동래부지 산천조(東萊府誌 山川條)에 “오륙도는 절영도 동쪽에 있다. 봉우리와 뫼의 모양이 기이하고 바다 가운데 나란히 서 있으니 동쪽에서 보면 여섯 봉우리가 되고 서쪽에서 보면 다섯 봉우리가 되어 이렇게 이름한 것이다. (五六島在絶影島東 峯巒奇古列之海中 自東視之則爲六峯 自西視之則爲五峯 故名之 以此)”라 기록된 바와 같이 보는 사람의 위치와 방향에 따라 다르게 보이는데서 유래한 것이라 한다.
(일설에는 방패섬과 솔섬의 아래 부분이 거의 붙어 있어 썰물일 때는 우삭도라 불리우는 하나의 섬으로 보이나 밀물일 때는 두 개의 섬으로 보인다는 데서 온 것이라고도 하나 이는 19세기 일본인이 잘못 기록한 내용에 의한 오해라는 주장이 있다.)
섬 이름을 살펴보면 육지에서 제일 가까운 섬으로 세찬 바람과 파도를 막아준다는 방패섬, 섬의 꼭대기에 소나무가 자생하고 있는 솔섬, 갈매기를 노려 독수리들이 모여들었다는 수리섬, 작고 모양이 뾰족하게 생긴 섬으로 송곳섬, 가장 큰 섬으로 커다란 굴이 있어 천정에서 흐르는 물이 능히 한사람 몫의 음료수로 충분하다는 굴섬, 그리고 육지에서 가장 멀리 떨어진 등대섬은 평탄하여 밭섬이라고도 하였으나 등대가 세워진 뒤부터 등대섬이라 불리어졌으며, 오륙도에서 유일하게 사람이 거주하는 섬이다.
오륙도 근처는 조류가 매우 빨라 뱃길로서는 위험한 곳이었기 때문에 옛날 이곳을 지나는 뱃사람들은 항해의 무사함을 기원하기 위하여 공양미를 바다에 던져 해신(海神)을 위무하였다고 전해지며, 용신제를 지내기도 하였다고 한다. 오륙도는 대한민국의 관문이며 부산항을 드나드는 각종 선박은 반드시 이곳을 지나야 하기 때문에 부산항의 상징이기도 하다.
(출처 : 남구 문화관광)<br><br> 오륙도에서 이기대공원까지 이어지는 해안지질탐방로가 설치되어 있는데, 이는 ""오륙도스카이워크""에서부터 ""동생말전망대""까지 총 4.7km구간의 해안산책로이면서 오륙도, 오륙도해맞이공원, 오륙도스카이워크, 동생말 전망대가 있는 우수한 국가지질공원인 이기대공원의 트래킹 코스이다. 동생말 전망대에서는 부산의 랜드마크인 광안대교와 해운대 고층빌딩의 화려한 야경을 볼 수 있어 부산의 숨은 야경명소라고 할 수 있다.","부산국가지질공원 051-888-3636<br>
해파랑길 부산관광안내소 051-607-6395",,,,,,,없음,없음,,"관광코스안내:[반나절 코스] 이기대해안산책로 - 오륙도 - 백운포 - 신선대<br>
[한나절 코스] 이기대 - 장자산 - 오륙도 - 백운포 - 신선대 - 황령산
"
일광해수욕장,46044,부산광역시 기장군 일광면 삼성3길 17,"일광해수욕장은 동해 남부해안의 해수욕장 중에서 가족동반 피서객이 많이 찾는 곳으로 백사장 왼편에 소나무숲인 강송정이 있다. 또, 인근에 있는 칠암에는 횟집촌이 형성돼 싱싱한 육질의 생선회를 맛볼 수 있어 해마다 많은 피서객들이 찾는 곳이다.<br><br>고려말 정몽주·이색·이숭인이 유람하였다는 삼성대(三聖臺)가 백사장 가운데 솟아 있고 왼쪽에는 강송정이 있다. 일광해수욕장의 해안선을 따라 수백 년이 된 노송들이 숲을 이루고 있었다고 전하지만 현재는 남아있지 않다. 해안선의 오른쪽 끝에 있는 학리마을에는 노송림에서 살아가는 학에서 이름이 유래된 것으로 여겨진다.<br /><br />일광해수욕장의 수심은 얕고 해안선이 강송정에서 학리 어구까지 원을 이루며 펼쳐져 있어 해변이 한눈에 들어온다. 휴양지로서 기능을 할 수 있는 민박과 야영 등 숙박과 편의시설이 잘 갖추어져 있다. 해안에서 바다낚시를 즐길 수 있고 인근 칠암에서는 어항이 있어 생선횟집이 늘어서 있다. 매년 7월 ~ 8월 중에는 갯마을 축제가 열리고 있다.",051-709-5446,,,,,09:00~18:00 (개장 중 입수가능 시간),,없음,없음,,"화장실:있음
이용가능시설:샤워장
"
해운대온천센터,48096,부산광역시 해운대구 중동2로 16(중동),"* 한국 유일의 임해 온천지, 해운대온천 *<br /><br />해운대 온천은 바닷가에 위치하여 해수욕과 온천욕을 즐길 수 있는 한국 유일의 임해 온천지이며 해운대 8경 중의 하나이다.해운대 온천센터는 해운대 해수욕장 부근 온천지구에 위치한 대형 온천 사우나이다. 수온40~62℃의 단순 식염천으로 여성의 피부미용과 피부질환에 효과가 있고, 음용시 이뇨 상의 효험은 물론 류머티즘, 혈액순환, 당뇨, 만성 호흡기 질환 등에 효험이 있다고 알려져 4계절 국내외 입욕객이 줄을 잇는다. 입욕시 비누거품이 잘 일지 않을 정도로 염도가 강하지만 온천욕을 마치고 나서 몸이 가볍고 피부가 매우 매끄러운 것이 특징이다.<br /><br />* 해운대온천의 유래와 역사 *<br /><br />해운대 온천이 발견된 연대는 정확히 알 수 없다. 하지만 신라시대 구남온천으로 불렸으며, 신라 진성여왕이 천연두를 앓아 병을 치료하기 위해 찾았던 곳이 바로 해운대라는 이야기가 전해지고 있다. 또한, 100여 년 전에는 청사포 갯마을 나환자들이 밤마다 모여 목욕을 하고 치료하였다고 한다.그만큼 해운대 온천은 오랜 역사적 배경과 구전(口傳)을 통해 그 효능이 입증되어온 내력 있는 온천이다. 왜구의 잦은 침범으로 오랫동안 폐쇄되었다가 그 뒤 일본인에 의해서 본격적으로 개발되어 근래에 이르고 있다.<br>",051-740-7000,"둘째, 넷째 일요일",,,,"04:00 - 24:00
(둘째,넷째 일요일 휴관)","건물내 주차장 및 타워 110대 수용, 지상 300대 이상",없음,불가,,"화장실:있음
이용가능시설:찜질방, 휘트니스 등
입 장 료:[사우나] 대인 8,000원 / 소인(7세미만) 4,000원 <br />
[사우나+찜질방]<br />
(주간) 대인 10,000원 / 소인 5,000원<br />
(야간) 대인 13,000원 / 소인 7,000원
"
