상호명,카테고리,평점,주소,운영시간,메뉴,시설
BHC치킨 온천장점,BHC치킨,3.0,부산 동래구 금강공원로 34-9 1층 (우)47709,['null'],"{'더블팝순살 양념+치즈볼': '28,000', '더블팝순살 후라이드+치즈볼': '27,000', '스윗킹 폭립+치즈볼': '33,000', '핫후라이드 콤보+치즈볼': '25,000', '핫후라이드 윙+치즈볼': '25,000', '핫후라이드 스틱+치즈볼': '25,000'}",{'null': 'null'}
도란도란,한식,0,부산 영도구 상리로 7 동삼그린힐아파트 상가 나동 1층 103호 (우)49089,['null'],{'null': 'null'},{'null': 'null'}
후라이드참잘하는집 만덕덕천점,후라이드참잘하는집,5.0,부산 북구 덕천로 280 동원맨션상가 7동 1층 105호 (우)46611,['매일 11:00 ~ 02:00'],{},{'null': 'null'}
할매정성밥상,한식,0,경기 군포시 산본천로202번길 13 (우)15811,['null'],{'null': 'null'},{'null': 'null'}
당감 제일냉면,냉면,4.0,부산 사하구 장림로 162 (우)49475,['매일 10:30 ~ 21:30'],"{'냉면 (대)': '9,000', '냉면 (소)': '8,000', '밀면 (대)': '7,000', '밀면 (소)': '6,000', '만두 (1인분)': '5,000'}",{'null': 'null'}
오도씨곱창,"곱창,막창",4.9,서울 강북구 솔매로 108 1층 (우)01169,['매일 12:00 ~ 24:00'],"{'야채곱창(1인)': '8,000', '순대곱창(1인)': '9,000', '알곱창(1인)': '9,000', '백곱창(1인)': '9,000', '돼지곱창전골(중)': '18,000', '돼지곱창전골(대)': '25,000'}",{'null': 'null'}
동경왕돈까스,"돈까스,우동",5.0,부산 영도구 태종로113번길 10 (우)49036,['매일 11:30 ~ 19:30'],"{'등심 수제 돈까스': '6,000', '돈까스 카레': '7,500', '치즈 함박 스테이크': '8,500', '카레라이스': '6,000', '김치볶음밥': '6,000'}",{'null': 'null'}
투썸플레이스 부산대연점,투썸플레이스,1.9,부산 남구 수영로 286 유일빌딩 1층 (우)48499,['월~토 08:00 ~ 23:00'],{},{'주차': '가능'}
밤비,유흥주점,0,부산 서구 구덕로119번길 11 (우)49253,['null'],{'null': 'null'},{'null': 'null'}
백아순순두부,"찌개,전골",3.0,경기 광주시 곤지암읍 만선로 40-7 1층 (우)12721,['null'],{'null': 'null'},{'주차': '가능'}
홍삼문,한식,0,부산 부산진구 동천로107번길 14 (우)47246,['월~토 09:00 ~ 24:00'],"{'홍어회': '20,000', '홍어삼합': '30,000', '수육': '20,000', '추가수육': '10,000', '홍어무침': '20,000', '홍어찜': '30,000', '': ''}","{'WIFI': '가능', '동물출입': '', '주차': '', '휠체어사용': '', '놀이방': ''}"
범천대가 구)우미관,"육류,고기",5.0,부산 부산진구 자유평화로 21-10 1층 101호 (우)47366,"['매일 10:30 ~ 23:00', '매일 휴게시간 15:00 ~ 16:30']","{'추천\n한우 육회': '30,000', '한우 육전': '25,000'}","{'WIFI': '가능', '동물출입': '가능', '주차': '가능'}"
이비가짬뽕 부산영도점,이비가짬뽕,2.2,부산 영도구 태종로 744 (우)49124,['매일 11:00 ~ 21:00'],{},{'null': 'null'}
피자스쿨 부산용호점,피자스쿨,0,부산 남구 동명로145번길 1 (우)48579,['null'],"{'고구마피자': '10,900', '까르보네피자': '12,900', '깐쇼새우피자': '14,900', '나폴리피자': '12,900', '닭안심살피자': '14,900', '도이치바이트피자': '14,900', '': ''}",{'null': 'null'}
