순위,업소명,주소,분류,검색량
1,비아조,부산 강서구 식만로 164-0,카페/찻집,29534
2,스타벅스명지강변DT점,부산 강서구 르노삼성대로 620-0,카페/찻집,26209
3,토북베이커리강서점,부산 강서구 낙동남로 526-1,간이음식,24025
4,맥도날드부산명지DT점,부산 강서구 명지국제8로 272-0,간이음식,23405
5,구디너프,부산 강서구 가덕해안로1169번길 28-0,카페/찻집,14167
6,카페오플로우,부산 강서구 가락대로 1206-0,카페/찻집,13659
7,카페진목,부산 강서구 명지새동네길2번길 56-3,카페/찻집,11965
8,록산,부산 강서구 화전산업대로 272-43,카페/찻집,10879
9,영진돼지국밥,부산 강서구 명지오션시티8로 31-0,한식,10056
10,이프리오,부산 강서구 범방4로 32-0,카페/찻집,9137
11,버거킹부산명지DT점,부산 강서구 명지국제6로 218-0,간이음식,9129
12,쿠우쿠우프리미엄명지직영점,부산 강서구 명지오션시티11로 66-0,전문음식,9079
13,장룡수산본점,부산 강서구 낙동남로 749-0,전문음식,8799
14,소희네집,부산 강서구 가덕해안로1208번길 2-12,전문음식,8768
15,어라우즈로스터리,부산 강서구 르노삼성대로 630-0,카페/찻집,8717
16,명지첫집국제신도시점,부산 강서구 명지국제6로232번길 18-0,전문음식,8498
17,앙로고택,부산 강서구 식만로 122-0,카페/찻집,8230
18,다온나루,부산 강서구 범방3로46번길 21-0,카페/찻집,8143
19,오리한상,부산 강서구 명지국제9로 66-0,전문음식,7862
20,월남면반,부산 강서구 명지국제6로302번길 19-3,외국식,6733
21,그랜드하브,부산 강서구 가덕해안로 924-0,카페/찻집,6574
22,신호활어회센터,부산 강서구 신호산단1로 60-0,전문음식,6481
23,용장어요리전문점,부산 강서구 낙동남로682번길 94-0,전문음식,6369
24,만호갈미샤브샤브,부산 강서구 르노삼성대로 602-0,전문음식,5992
25,테라비본점,부산 강서구 명지국제8로10번길 16-0,전문음식,5808
26,스타벅스명지오션시티점,부산 강서구 명지오션시티11로 66-0,카페/찻집,5582
27,낙동강오리알본점,부산 강서구 상덕로 35-1,전문음식,5540
28,샤브20부산명지점,부산 강서구 명지국제8로 19-0,전문음식,5514
29,대저할매국수,부산 강서구 대저중앙로 337-0,한식,5396
30,코지하우스명지점,부산 강서구 명지국제11로 70-0,전문음식,5208
31,푸디 1354,부산 강서구 가락대로 1354-0,한식,5168
32,스타벅스명지국제신도시점,부산 강서구 명지국제5로 42-0,카페/찻집,5089
33,파스쿠찌부산강서점,부산 강서구 체육공원로6번길 184-0,카페/찻집,5047
34,정원오리촌,부산 강서구 명지오션시티10로 127-0,전문음식,5012
35,투썸플레이스부산가덕도점,부산 강서구 가덕해안로 590-0,카페/찻집,4924
36,포레스트3002,부산 강서구 낙동남로682번길 262-0,카페/찻집,4855
37,그날이후불타는삼겹살,부산 강서구 새진목길11번길 22-0,한식,4823
38,이지요 더파크,부산 강서구 신호산단1로72번길 54-0,카페/찻집,4533
39,브리타니,부산 강서구 가덕해안로 663-0,카페/찻집,4291
40,자갈치왕짬뽕[중식],부산 강서구 공항로447번길 6-0,외국식,4041
41,투썸플레이스부산명지강변점,부산 강서구 명지새동네길2번길 56-0,카페/찻집,3970
41,녹슨드럼통본점,부산 강서구 경전철로 233-2,한식,3970
43,김가네가야밀면,부산 강서구 공항앞길 25-0,한식,3733
44,벨렘351,부산 강서구 대저로299번길 6-0,카페/찻집,3680
45,금빛노을,부산 강서구 둔치강변길 656-0,카페/찻집,3648
46,녹산용가든,부산 강서구 낙동남로682번길 94-0,한식,3530
47,명지첫집오션시티직영점,부산 강서구 명지오션시티11로 74-0,한식,3485
48,하이멍애견카페,부산 강서구 봉림길203번길 119-1,카페/찻집,3482
49,방코,부산 강서구 새진목길 51-0,전문음식,3446
50,로빈뮤지엄,부산 강서구 신호산단1로140번길 71-0,카페/찻집,3337
51,부산조개창고명지점,부산 강서구 명지국제2로28번길 23-0,전문음식,3335
52,봄내멸치쌈밥,부산 강서구 명지오션시티8로 27-0,한식,3218
53,영진돼지국밥신호점,부산 강서구 신호산단2로49번길 48-0,한식,3175
54,박가네순두부,부산 강서구 신호산단1로98번길 91-0,한식,3143
55,영진돼지국밥,부산 강서구 과학산단로 349-0,한식,3141
56,글리제,부산 강서구 가덕해안로 592-0,카페/찻집,3100
57,버거킹김해공항DT점,부산 강서구 공항로 779-0,간이음식,3048
58,대마등,부산 강서구 르노삼성대로 574-0,한식,3034
59,일삼육고기집,부산 강서구 명지국제8로 293-0,한식,3032
60,스타벅스명지퍼스트월드점,부산 강서구 명지국제7로 37-0,카페/찻집,3024
61,투썸플레이스부산대저점,부산 강서구 공항로811번가길 27-1,카페/찻집,3002
62,브런치빈부산명지점,부산 강서구 명지오션시티4로 94-0,카페/찻집,2986
63,낭만송백,부산 강서구 맥도강변길 283-0,카페/찻집,2975
64,토다이U명지점,부산 강서구 명지국제6로 107-0,전문음식,2921
65,할리스부산명지국제신도시점,부산 강서구 명지국제11로 57-0,카페/찻집,2861
66,산골애명지점,부산 강서구 명지오션시티1로 173-0,전문음식,2852
67,챠오샤브,부산 강서구 명지국제2로28번길 23-0,한식,2819
68,우적명지점,부산 강서구 명지국제6로1번가길 6-0,한식,2747
69,룸606,부산 강서구 명지국제6로 316-0,전문음식,2743
70,효돈까스명지국제신도시점,부산 강서구 명지국제6로318번길 38-0,전문음식,2716
71,배말칼국수가덕도점,부산 강서구 가덕해안로 779-0,한식,2699
72,채선당자연한가득부산명지점,부산 강서구 명지국제1로 60-1,전문음식,2672
73,꿈꾸는요리사제과점2호점,부산 강서구 신호산단4로 54-0,간이음식,2650
74,류센소명지점,부산 강서구 명지국제5로148번길 16-1,외국식,2627
75,한그루양과점,부산 강서구 명지국제6로1번길 37-0,카페/찻집,2620
76,로다로지,부산 강서구 명지국제12로19번길 20-10,카페/찻집,2504
77,수차이나[중식],부산 강서구 낙동남로 335-0,외국식,2495
78,동해수산,부산 강서구 신호산단1로72번길 7-0,전문음식,2283
79,스타벅스스타필드명지점,부산 강서구 명지국제6로 168-0,카페/찻집,2266
80,경마장돌짜장[중식],부산 강서구 가락대로900번가길 9-0,외국식,2247
81,팔각도부산명지점,부산 강서구 명지국제6로232번길 13-1,전문음식,2229
82,현풍닭칼국수명지점,부산 강서구 명지국제8로 286-0,한식,2208
83,소고기집박군,부산 강서구 명지국제6로220번길 5-4,한식,2190
84,자담면가,부산 강서구 영강길81번길 10-0,한식,2162
85,하라케이크부산점,부산 강서구 명지국제6로302번길 11-6,간이음식,2134
86,꿈꾸는요리사국제신도시점,부산 강서구 명지국제8로 230-0,간이음식,2131
87,롯데리아명지국제신도시점,부산 강서구 명지국제8로 233-0,간이음식,2125
88,선창갈삼구이,부산 강서구 르노삼성대로 602-0,전문음식,2111
89,수미가칼국수,부산 강서구 영강길 157-0,한식,2110
90,위드렌터카김해공항점,부산 강서구 공항앞길85번길 25-0,카페/찻집,2077
91,만드리곤드레밥,부산 강서구 공항앞길85번길 13-0,한식,2054
92,시장분식,부산 강서구 공항로811번다길 23-19,한식,2047
93,칸웨이명지점 [중식],부산 강서구 명지오션시티4로 84-0,외국식,2039
94,연정김치찌개,부산 강서구 경전철로188번길 75-0,한식,2023
95,동경회관,부산 강서구 신호산단1로72번길 17-0,전문음식,2017
96,금호횟집,부산 강서구 명지새동네길1번길 62-0,전문음식,1975
97,마라도물회,부산 강서구 녹산화전로 283-0,전문음식,1908
98,칠곡보리밥칼국수,부산 강서구 신호산단4로64번길 35-0,한식,1892
99,연경재별채,부산 강서구 가덕해안로 655-0,카페/찻집,1891
100,고집불통토굴속묵은지,부산 강서구 공항앞길 68-0,한식,1866
1,선유도원,부산 금정구 상현로 64-0,카페/찻집,15147
2,모모스커피부산본점,부산 금정구 오시게로 20-0,카페/찻집,14107
3,맥도날드부산구서DT점,부산 금정구 중앙대로 1957-0,간이음식,12290
4,배비장보쌈구서본점,부산 금정구 금정로 239-0,전문음식,10965
5,헤이든신씨어,부산 금정구 산성로 436-0,카페/찻집,10936
