시군구명,시도명,관광지명,,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,방문자수
남구,부산광역시,오륙도 스카이워크,오륙도 스카이워크> 여행지 | '열린 관광' 모두의 여행,인문(문화/예술/역사),건축/조형물,유명건물,17946
기장군,부산광역시,해동 용궁사(부산),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2116b628-ded9-42c2-b17e-99d17b5b65e4,인문(문화/예술/역사),역사관광지,사찰,11146
기장군,부산광역시,죽성성당(드림세트장),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=4ca61bd6-99ec-4828-bdc9-d295bec03a4d,인문(문화/예술/역사),체험관광지,이색체험,8793
기장군,부산광역시,안데르센 동화마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=008820e2-13e8-4bc5-93e2-c4d95d0eaf8c,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,8627
영도구,부산광역시,흰여울문화마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=91c9d21b-50cc-4875-a717-c4fff63e3372,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,7925
해운대구,부산광역시,해운대 블루라인파크,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2670917c-c7b0-43be-a174-bd5ae40372f1,인문(문화/예술/역사),휴양관광지,테마공원,7884
서구,부산광역시,송도용궁구름다리,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=99d69d16-3338-44d7-bec1-ec0578842fe6,인문(문화/예술/역사),건축/조형물,다리/대교,6405
해운대구,부산광역시,청사포 다릿돌전망대,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d24fc1d9-56ee-4cec-b8c5-8ba1f20101ee,인문(문화/예술/역사),건축/조형물,유명건물,5907
사하구,부산광역시,부산 감천문화마을,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=bfafd82a-6e0a-4455-bfef-10e478de5ca4,인문(문화/예술/역사),체험관광지,농.산.어촌 체험,5197
서구,부산광역시,송도 구름산책로(스카이워크),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5565d283-4e80-4d9b-8678-1987982660e9,레포츠,육상 레포츠,트래킹,4850
기장군,부산광역시,아홉산숲,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=833d4a7b-e9ef-4b2a-bfab-4e376620b458,자연,자연관광지,산,4552
해운대구,부산광역시,해운대 그린레일웨이 (미포~송정 구간),https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cc789207-2370-4f63-b8aa-805b6f726535,자연,자연관광지,자연생태관광지,4542
영도구,부산광역시,아미르공원,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=098578f0-0c46-4d62-abf9-14d8b8d5149c,인문(문화/예술/역사),휴양관광지,공원,4214
