상호명,카테고리,평점,주소,운영시간,메뉴,시설
이비가짬뽕 부산영도점,이비가짬뽕,2.2,부산 영도구 태종로 744 (우)49124,['매일 11:00 ~ 21:00'],{},{}
참나무삼겹살 영도점,"육류,고기",3.5,부산 영도구 절영로 523 탑마트2층 (우)49108,['null'],{},{}
남포식당,복어,2.6,부산 서구 충무대로 169-1 (우)49256,['매일 09:00 ~ 19:30'],"{'복국': '12,000', '회 (대)': '30,000', '복수육 (대)': '60,000', '복수육 (중)': '50,000', '복수육 (소)': '40,000', '회 (중)': '20,000', '': ''}",{'주차': ''}
도타이 커피앤와플,커피전문점,4.0,부산 영도구 와치로 266 벽산아파트상가 113호 (우)49115,['월~금 11:00 ~ 22:00'],{},{}
거북이식당,한식,0,부산 영도구 해양로 118 (우)49008,['null'],{},{}
윙크,유흥주점,0,부산 영도구 남항로31번길 48 (우)49052,['null'],{},{}
왕뼈감자탕 영도점,감자탕,5.0,부산 영도구 중리로 25 (우)49118,['null'],"{'왕뼈해장국': '8,000', '왕뼈감자탕(대)': '38,000', '왕뼈찜(중)': '33,000', '왕뼈감자탕(소)': '26,000', '왕뼈감자탕(중)': '32,000', '왕뼈찜(대)': '40,000', '': ''}","{'WIFI': '가능', '주차': '가능'}"
통영멸치쌈밥집,쌈밥,4.6,부산 중구 중앙대로49번길 14 1층 (우)48956,['월~토 10:00 ~ 20:00'],"{'멸치쌈밥': '10,000', '고등어쌈밥': '10,000', '굴국밥': '12,000', '물메기탕': '15,000', '뱅어회(중)': '30,000'}",{}
설바위스쿠버횟집 펜션,회,3.3,경북 포항시 북구 흥해읍 해안로 1479 (우)37530,['null'],"{'우럭매운탕': '15,000', '자연산(소)': '60,000', '모듬회(소)': '50,000', '광어도다리': '10,000', '영덕대게': '변동가격'}",{}
대우회센타,회,4.5,부산 영도구 태종로95번길 41 (우)49034,['null'],"{'가자미회': '60,000', '물회': '15,000'}",{}
할매김밥,분식,0,부산 영도구 절영로13번길 28 (우)49036,['null'],{},{}
민이식당,한식,5.0,부산 사하구 원양로 379 (우)49449,['null'],"{'삼겹살(1인분)': '7,000', '두루치기(소)': '15,000', '두루치기(중)': '20,000', '두루치기(대)': '30,000', '정식': '7,000'}",{}
송화루,중국요리,0,부산 영도구 남항로10번길 18 (우)49046,['null'],{},{}
팔금산,"초밥,롤",5.0,부산 영도구 태종로95번길 6 1층 (우)49036,['null'],{},{}
옥당순대,순대,3.4,대전 서구 도산로 344 (우)35302,['매일 00:00 ~ 24:00'],"{'해장라면': '6,000', '순대국밥': '6,000', '돼지국밥': '6,000', '순대국수': '6,000', '콩나물해장국': '6,000'}",{'주차': '가능'}
티바두마리치킨 동삼행복점,티바두마리치킨,0,부산 영도구 웃서발로 16-1 지하1층 101호 (우)49094,['null'],"{'콤보2세트(치킨선택2)+콜라': '29,500', '콤보(택1)+순살(택1)+콜라': '27,000', '뼈1마리(택1)+순살1마리(택1)+콜라': '25,500', '순살알싸한마늘간장+순살(택1)+콜라': '26,500', '순살고추마늘간장+순살(택1)+콜라': '26,500', '순살땡초불갈릭+순살(택1)+콜라': '27,500'}",{}
굽네치킨 부산청학점,굽네치킨,0,부산 영도구 태종로 260 신도브래뉴 상가 112호 (우)49021,['매일 12:00 ~ 24:00'],"{'남해마늘바사삭+콜라1.25L': '21,000', '오븐바사삭+티카마살라+콜라1.25L': '21,900', '오븐바사삭+치킨마크니+콜라1.25L': '21,900', '불금치킨+콜라1.25L': '20,000', '오븐바사삭+콜라1.25L': '19,000', '치즈바사삭+콜라1.25L': '20,000', '': ''}",{}
썬더치킨 영도3호점,썬더치킨,4.0,부산 영도구 청학로 91 (우)49023,['null'],{},{}
대성식육식당,"육류,고기",0,부산 영도구 절영로7번길 36 (우)49035,['null'],{},{}
한옥아구찜,아구,0,부산 영도구 절영로49번길 7 (우)49054,['null'],{},{}
또래오래 부산영도동삼점,또래오래,0,부산 영도구 절영로 557 삼창파크상가 105호 (우)49108,['매일 12:00 ~ 24:00'],"{'콘듀치킨+리얼치즈볼': '25,000', '오곡후라이드+리얼치즈볼': '22,000', '갈반핫반+리얼치즈볼': '24,000', '단짠윙봉+리얼치즈볼': '25,000', '단짠스틱+리얼치즈볼': '25,000', '단짠콤보+리얼치즈볼': '25,000', '': ''}",{}
고모집,닭요리,0,부산 사하구 낙동남로1367번길 23 성원빌리지 1층 101호 (우)49314,['null'],{},{}
대평식당,한식,0,부산 영도구 대평남로 58-2 (우)49038,['null'],{},{}
막끌리네,한식,4.0,부산 영도구 절영로35번길 59 (우)49052,['null'],{},{}
금영식당,한식,0,대구 동구 안심로65길 11 (우)41081,['null'],{'null': 'null'},{'null': 'null'}
